iter	Passed	Remaining
0	145	145197
1	147	73427
2	148	49428
3	150	37466
4	152	30341
5	154	25575
6	156	22246
7	159	19717
8	161	17730
9	162	16124
10	164	14788
11	166	13707
12	169	12833
13	171	12061
14	173	11388
15	175	10801
16	182	10546
17	185	10137
18	189	9801
19	192	9436
20	194	9068
21	196	8713
22	197	8382
23	199	8098
24	200	7818
25	201	7543
26	202	7304
27	203	7071
28	205	6876
29	207	6701
30	208	6506
31	209	6344
32	211	6194
33	212	6044
34	213	5897
35	214	5753
36	215	5615
37	216	5483
38	217	5359
39	218	5248
40	219	5133
41	220	5030
42	221	4929
43	222	4837
44	223	4739
45	225	4673
46	227	4619
47	228	4536
48	229	4457
49	232	4409
50	233	4347
51	238	4344
52	240	4290
53	240	4221
54	241	4155
55	242	4092
56	243	4031
57	244	3972
58	245	3914
59	246	3855
60	246	3797
61	248	3764
62	249	3715
63	251	3675
64	252	3631
65	253	3582
66	253	3533
67	254	3482
68	254	3437
69	255	3394
70	256	3353
71	257	3317
72	258	3280
73	259	3243
74	262	3237
75	263	3201
76	264	3170
77	265	3135
78	267	3114
79	268	3082
80	268	3049
81	270	3023
82	271	2999
83	272	2976
84	273	2943
85	274	2914
86	275	2887
87	275	2859
88	276	2831
89	277	2804
90	278	2779
91	279	2760
92	280	2735
93	281	2708
94	281	2682
95	282	2656
96	282	2631
97	283	2606
98	283	2582
99	284	2558
100	284	2535
101	285	2510
102	285	2488
103	286	2466
104	286	2445
105	287	2424
106	288	2403
107	288	2383
108	289	2363
109	289	2344
110	290	2324
111	290	2306
112	291	2290
113	292	2271
114	292	2253
115	293	2235
116	293	2217
117	294	2201
118	294	2183
119	295	2167
120	296	2151
121	298	2146
122	298	2130
123	299	2116
124	300	2102
125	301	2090
126	302	2079
127	303	2065
128	303	2051
129	304	2037
130	305	2025
131	305	2011
132	306	1997
133	306	1983
134	307	1970
135	308	1957
136	308	1944
137	309	1931
138	309	1920
139	310	1909
140	311	1896
141	311	1885
142	312	1872
143	313	1861
144	313	1850
145	314	1839
146	316	1838
147	317	1827
148	318	1816
149	319	1811
150	321	1807
151	322	1800
152	324	1796
153	325	1787
154	326	1777
155	326	1767
156	327	1757
157	327	1747
158	328	1737
159	329	1728
160	332	1732
161	333	1727
162	334	1717
163	335	1708
164	335	1698
165	336	1689
166	336	1680
167	337	1673
168	338	1664
169	339	1655
170	339	1647
171	340	1639
172	341	1633
173	342	1625
174	342	1616
175	343	1608
176	344	1600
177	345	1596
178	348	1596
179	349	1592
180	383	1734
181	385	1731
182	386	1725
183	387	1719
184	389	1714
185	390	1709
186	392	1705
187	394	1701
188	408	1751
189	416	1775
190	417	1767
191	418	1759
192	418	1751
193	419	1743
194	429	1774
195	430	1766
196	431	1759
197	432	1751
198	433	1745
199	436	1746
200	437	1740
201	439	1735
202	440	1728
203	440	1720
204	441	1713
205	442	1705
206	444	1701
207	445	1694
208	445	1687
209	446	1680
210	460	1721
211	461	1714
212	462	1707
213	462	1699
214	463	1692
215	464	1685
216	471	1703
217	472	1696
218	474	1692
219	475	1685
220	476	1679
221	477	1672
222	477	1665
223	478	1658
224	479	1652
225	480	1645
226	481	1638
227	482	1634
228	483	1627
229	484	1621
230	485	1614
231	485	1608
232	486	1601
233	489	1602
234	490	1597
235	491	1591
236	493	1588
237	498	1596
238	500	1592
239	508	1611
240	516	1626
241	517	1620
242	518	1614
243	520	1612
244	521	1606
245	522	1600
246	523	1594
247	523	1588
248	524	1582
249	525	1576
250	526	1570
251	527	1564
252	528	1559
253	529	1554
254	530	1549
255	532	1546
256	533	1541
257	533	1535
258	534	1530
259	535	1524
260	536	1518
261	537	1513
262	538	1508
263	539	1502
264	539	1497
265	540	1492
266	541	1486
267	542	1480
268	542	1475
269	543	1470
270	545	1467
271	546	1462
272	546	1456
273	547	1450
274	548	1445
275	548	1439
276	549	1434
277	550	1428
278	551	1424
279	552	1420
280	553	1415
281	553	1410
282	554	1404
283	555	1399
284	555	1394
285	556	1389
286	557	1384
287	557	1379
288	558	1373
289	559	1370
290	560	1366
291	561	1360
292	561	1355
293	562	1351
294	563	1346
295	563	1341
296	564	1336
297	565	1332
298	566	1329
299	567	1325
300	569	1321
301	569	1316
302	570	1312
303	571	1307
304	571	1303
305	572	1299
306	575	1298
307	576	1294
308	576	1290
309	577	1285
310	578	1281
311	578	1276
312	579	1272
313	580	1267
314	580	1263
315	581	1258
316	582	1254
317	582	1250
318	583	1245
319	584	1241
320	584	1236
321	585	1232
322	585	1227
323	586	1223
324	587	1219
325	587	1215
326	588	1211
327	589	1208
328	590	1204
329	591	1200
330	592	1196
331	592	1192
332	593	1188
333	594	1185
334	595	1181
335	595	1177
336	596	1173
337	597	1169
338	597	1165
339	598	1161
340	599	1158
341	599	1154
342	600	1150
343	601	1146
344	601	1142
345	602	1138
346	603	1135
347	604	1132
348	604	1128
349	605	1124
350	606	1120
351	606	1117
352	607	1113
353	608	1109
354	608	1106
355	609	1102
356	610	1098
357	610	1095
358	611	1091
359	612	1088
360	612	1084
361	613	1081
362	614	1077
363	614	1074
364	615	1070
365	616	1067
366	616	1063
367	617	1060
368	617	1056
369	618	1053
370	619	1050
371	620	1047
372	620	1043
373	621	1040
374	622	1037
375	622	1033
376	623	1030
377	624	1027
378	624	1023
379	625	1020
380	626	1017
381	626	1013
382	627	1010
383	627	1007
384	628	1004
385	629	1000
386	629	997
387	630	994
388	631	991
389	631	988
390	632	985
391	633	982
392	634	979
393	634	976
394	635	973
395	636	970
396	636	967
397	637	964
398	638	961
399	638	957
400	639	954
401	639	951
402	640	948
403	641	945
404	641	942
405	642	940
406	643	937
407	643	934
408	644	931
409	644	928
410	645	925
411	646	922
412	646	919
413	647	916
414	648	913
415	649	911
416	649	908
417	650	905
418	651	902
419	651	900
420	652	897
421	652	894
422	653	891
423	654	889
424	655	886
425	655	883
426	656	880
427	657	878
428	657	875
429	658	872
430	658	869
431	659	867
432	660	864
433	660	861
434	661	859
435	662	856
436	662	854
437	663	851
438	664	849
439	665	846
440	665	844
441	666	841
442	667	838
443	667	836
444	668	833
445	668	830
446	669	828
447	669	825
448	670	822
449	671	820
450	671	817
451	672	814
452	672	812
453	673	809
454	673	807
455	674	804
456	675	802
457	675	799
458	676	797
459	677	795
460	678	793
461	679	790
462	679	788
463	680	786
464	681	784
465	682	781
466	682	779
467	683	777
468	684	774
469	684	772
470	685	769
471	686	767
472	686	765
473	687	762
474	687	760
475	688	757
476	688	755
477	689	753
478	690	750
479	691	748
480	691	746
481	692	744
482	693	742
483	694	740
484	694	737
485	695	735
486	696	733
487	696	731
488	697	729
489	698	726
490	698	724
491	699	722
492	700	720
493	700	717
494	701	715
495	702	713
496	702	711
497	703	709
498	703	706
499	704	704
500	705	702
501	705	700
502	706	698
503	707	696
504	708	694
505	708	691
506	709	689
507	710	687
508	710	685
509	711	683
510	712	681
511	712	679
512	713	677
513	713	675
514	714	672
515	715	670
516	715	668
517	716	666
518	716	664
519	717	662
520	718	660
521	718	658
522	719	656
523	720	654
524	720	652
525	721	649
526	721	647
527	722	646
528	723	644
529	724	642
530	724	640
531	725	638
532	726	636
533	726	634
534	727	632
535	728	630
536	728	628
537	729	626
538	729	624
539	730	622
540	731	620
541	731	618
542	732	616
543	732	614
544	733	612
545	734	610
546	734	608
547	735	606
548	736	604
549	736	602
550	737	601
551	738	599
552	739	597
553	739	595
554	740	593
555	741	591
556	741	589
557	742	587
558	742	586
559	743	584
560	743	582
561	744	580
562	745	578
563	745	576
564	746	574
565	746	572
566	748	571
567	748	569
568	749	567
569	750	566
570	751	564
571	752	562
572	753	561
573	754	559
574	755	558
575	755	556
576	756	554
577	757	552
578	757	550
579	758	549
580	758	547
581	759	545
582	760	543
583	760	541
584	761	540
585	762	538
586	762	536
587	763	534
588	763	533
589	764	531
590	765	529
591	765	527
592	766	525
593	767	524
594	767	522
595	768	521
596	769	519
597	770	517
598	770	516
599	771	514
600	772	512
601	773	511
602	773	509
603	774	507
604	775	506
605	775	504
606	776	502
607	776	500
608	777	499
609	778	497
610	778	495
611	779	494
612	780	492
613	780	490
614	781	489
615	782	487
616	782	485
617	783	484
618	784	482
619	785	481
620	785	479
621	786	477
622	787	476
623	787	474
624	788	472
625	788	471
626	789	469
627	789	467
628	790	466
629	791	464
630	791	462
631	792	461
632	792	459
633	793	458
634	794	456
635	794	454
636	795	453
637	795	451
638	796	449
639	797	448
640	798	447
641	799	445
642	799	443
643	800	442
644	800	440
645	801	439
646	802	437
647	802	436
648	803	434
649	803	432
650	804	431
651	805	429
652	805	428
653	806	426
654	806	424
655	807	423
656	807	421
657	807	419
658	808	418
659	808	416
660	809	415
661	809	413
662	810	411
663	810	410
664	811	408
665	812	407
666	813	406
667	813	404
668	814	402
669	814	401
670	815	399
671	815	398
672	816	396
673	816	395
674	817	393
675	817	391
676	818	390
677	818	388
678	819	387
679	819	385
680	820	384
681	820	382
682	821	381
