iter	Passed	Remaining
0	157	157002
1	159	79644
2	161	53615
3	162	40571
4	164	32735
5	166	27607
6	168	23934
7	170	21110
8	172	18949
9	173	17189
10	175	15745
11	176	14537
12	178	13515
13	179	12636
14	180	11878
15	182	11203
16	183	10592
17	184	10074
18	185	9597
19	186	9155
20	187	8754
21	188	8387
22	189	8051
23	190	7744
24	191	7456
25	191	7189
26	192	6942
27	193	6718
28	194	6517
29	195	6317
30	196	6128
31	196	5950
32	197	5788
33	198	5637
34	199	5497
35	199	5353
36	200	5217
37	200	5086
38	201	4963
39	201	4845
40	202	4734
41	203	4630
42	203	4530
43	204	4434
44	204	4342
45	205	4254
46	205	4170
47	206	4089
48	206	4011
49	207	3945
50	208	3879
51	209	3810
52	209	3747
53	210	3682
54	210	3620
55	211	3560
56	211	3504
57	212	3449
58	212	3394
59	213	3342
60	213	3291
61	214	3241
62	214	3193
63	215	3147
64	215	3102
65	216	3059
66	216	3017
67	217	2976
68	217	2936
69	218	2897
70	218	2860
71	219	2823
72	219	2788
73	220	2753
74	220	2719
75	221	2687
76	221	2655
77	222	2625
78	222	2598
79	223	2573
80	224	2545
81	224	2518
82	225	2489
83	225	2464
84	226	2438
85	227	2413
86	227	2387
87	228	2363
88	228	2339
89	229	2316
90	229	2293
91	230	2270
92	230	2249
93	231	2228
94	231	2206
95	232	2185
96	232	2165
97	233	2145
98	233	2125
99	234	2106
100	234	2087
101	235	2069
102	235	2051
103	236	2033
104	236	2016
105	237	2003
106	238	1991
107	239	1974
108	239	1958
109	240	1942
110	240	1927
111	241	1911
112	241	1896
113	242	1880
114	242	1866
115	242	1851
116	243	1836
117	243	1822
118	244	1808
119	244	1794
120	245	1781
121	245	1767
122	246	1754
123	246	1741
124	247	1729
125	247	1717
126	247	1704
127	248	1692
128	248	1680
129	249	1669
130	249	1658
131	250	1646
132	250	1635
133	251	1625
134	252	1615
135	252	1607
136	253	1597
137	254	1586
138	254	1576
139	254	1566
140	255	1556
141	255	1545
142	256	1535
143	256	1526
144	257	1516
145	257	1507
146	258	1498
147	258	1488
148	259	1479
149	259	1471
150	260	1462
151	260	1454
152	261	1445
153	261	1437
154	262	1428
155	262	1420
156	263	1412
157	263	1404
158	263	1396
159	264	1388
160	264	1379
161	265	1372
162	265	1365
163	266	1357
164	267	1351
165	267	1346
166	268	1339
167	269	1332
168	270	1327
169	270	1321
170	271	1314
171	271	1307
172	272	1300
173	272	1294
174	273	1287
175	273	1280
176	274	1274
177	274	1268
178	275	1261
179	275	1255
180	276	1248
181	276	1242
182	276	1236
183	277	1230
184	277	1224
185	278	1218
186	278	1212
187	279	1207
188	280	1201
189	280	1196
190	281	1190
191	281	1184
192	282	1179
193	282	1175
194	283	1170
195	284	1165
196	284	1160
197	285	1155
198	285	1149
199	286	1144
200	286	1139
201	287	1134
202	287	1129
203	288	1124
204	288	1119
205	289	1114
206	289	1109
207	290	1104
208	290	1099
209	290	1094
210	291	1089
211	291	1085
212	292	1080
213	292	1075
214	293	1071
215	294	1067
216	294	1062
217	294	1058
218	295	1053
219	295	1049
220	296	1044
221	297	1041
222	297	1038
223	298	1034
224	299	1029
225	299	1025
226	299	1021
227	300	1017
228	300	1013
229	301	1008
230	301	1004
231	302	1000
232	302	996
233	303	992
234	303	989
235	304	985
236	304	981
237	305	977
238	305	974
239	306	970
240	306	966
241	307	962
242	307	958
243	308	955
244	309	952
245	309	949
246	310	945
247	310	942
248	311	939
249	312	936
250	313	935
251	314	932
252	314	929
253	315	926
254	315	923
255	316	920
256	317	916
257	317	913
258	318	910
259	318	906
260	319	903
261	319	900
262	320	896
263	320	893
264	320	890
265	321	887
266	321	883
267	322	882
268	323	879
269	324	876
270	324	872
271	324	869
272	325	866
273	325	863
274	326	860
275	327	858
276	327	856
277	328	853
278	328	850
279	329	847
280	329	844
281	330	841
282	330	838
283	331	835
284	331	832
285	332	829
286	332	826
287	333	823
288	333	821
289	334	818
290	334	815
291	335	812
292	335	809
293	336	807
294	336	804
295	337	802
296	337	799
297	338	796
298	338	794
299	339	791
300	339	788
301	340	786
302	340	783
303	341	780
304	341	778
305	342	776
306	343	774
307	343	772
308	344	769
309	344	767
310	345	764
311	345	761
312	346	759
313	346	757
314	346	754
315	347	752
316	347	749
317	348	747
318	348	744
319	349	742
320	349	739
321	350	738
322	351	736
323	351	734
324	352	732
325	352	729
326	353	727
327	353	725
328	354	722
329	354	720
330	355	718
331	355	715
332	356	713
333	357	711
334	357	710
335	358	707
336	358	705
337	359	703
338	359	701
339	360	698
340	360	696
341	361	694
342	361	692
343	362	690
344	362	688
345	363	686
346	363	684
347	364	682
348	365	681
349	365	679
350	366	677
351	367	675
352	367	674
353	368	672
354	369	670
355	369	668
356	370	667
357	371	665
358	372	665
359	373	664
360	374	662
361	375	661
362	375	659
363	376	657
364	376	655
365	377	653
366	377	651
367	378	650
368	379	648
369	379	646
370	380	644
371	380	642
372	381	640
373	381	638
374	382	636
375	382	634
376	382	632
377	383	630
378	383	628
379	384	627
380	384	625
381	385	623
382	385	621
383	386	619
384	387	618
385	387	616
386	388	615
387	388	613
388	389	611
389	389	609
390	390	607
391	390	606
392	391	604
393	391	602
394	392	600
395	392	599
396	393	597
397	393	595
398	394	594
399	394	592
400	395	590
401	396	589
402	396	587
403	397	585
404	397	583
405	397	582
406	398	580
407	398	578
408	399	577
409	399	575
410	400	573
411	400	571
412	401	570
413	402	569
414	402	567
415	403	566
416	403	564
417	404	562
418	404	561
419	405	559
420	405	557
421	406	556
422	406	555
423	407	553
424	407	551
425	408	550
426	408	548
427	409	547
428	409	545
429	410	543
430	410	542
431	411	540
432	411	539
433	412	537
434	412	535
435	413	534
436	413	532
437	414	531
438	414	529
439	415	528
440	415	526
441	415	525
442	416	523
443	417	522
444	418	521
445	418	520
446	419	518
447	420	517
448	421	517
449	422	516
450	422	514
451	423	513
452	423	511
453	424	510
454	424	508
455	425	507
456	425	505
457	426	504
458	426	502
459	427	501
460	427	500
461	428	498
462	428	497
463	429	495
464	429	494
465	430	492
466	430	491
467	431	489
468	431	488
469	432	487
470	433	486
471	433	485
472	434	483
473	435	482
474	435	481
475	436	480
476	436	478
477	437	477
478	437	475
479	438	474
480	438	473
481	439	471
482	439	470
483	439	469
484	440	467
485	440	466
486	441	464
487	441	463
488	442	462
489	442	460
490	443	459
491	443	458
492	444	456
493	444	455
494	445	454
495	445	452
496	446	451
497	447	450
498	447	449
499	448	448
500	448	447
501	449	445
502	450	444
503	450	443
504	450	442
505	451	440
506	451	439
507	452	438
508	452	436
509	453	435
510	453	434
511	454	433
512	454	431
513	455	430
514	455	429
515	456	428
516	456	426
517	457	425
518	457	424
519	458	423
520	458	421
521	459	420
522	459	419
523	460	418
524	460	416
525	461	415
526	462	414
527	462	413
528	463	412
529	464	411
530	464	410
531	464	409
532	465	407
533	465	406
534	466	405
535	466	404
536	467	402
537	467	401
538	468	400
539	468	399
540	469	398
541	469	396
542	470	395
543	470	394
544	471	393
545	471	392
546	472	391
547	472	389
548	473	388
549	473	387
550	474	386
551	474	385
552	475	384
553	475	382
554	476	381
555	476	380
556	477	379
557	478	378
558	478	377
559	479	376
560	479	375
561	480	374
562	480	373
563	481	371
564	481	370
565	482	369
566	482	368
567	482	367
568	483	366
569	484	365
570	484	364
571	485	362
572	485	361
573	486	360
574	486	359
575	487	358
576	487	357
577	488	356
578	488	355
579	489	354
580	489	353
581	490	352
582	490	350
583	491	349
584	492	349
585	493	348
586	494	347
587	494	346
588	495	345
589	496	344
590	533	369
591	535	368
592	535	367
593	536	366
594	537	365
595	537	364
596	538	363
597	539	362
598	539	361
599	540	360
600	541	359
601	541	358
602	542	357
603	543	356
604	543	354
605	558	363
606	559	362
607	560	361
608	561	360
609	561	359
610	563	358
611	564	357
612	565	356
613	576	362
614	577	361
615	577	360
616	578	359
617	579	358
618	580	357
619	581	356
620	581	355
621	582	353
622	582	352
623	583	351
624	584	350
625	584	349
626	585	348
627	585	346
628	586	345
629	586	344
630	587	343
631	587	342
632	588	341
633	589	340
634	589	338
635	590	337
636	590	336
637	591	335
638	592	334
639	593	333
640	594	333
641	595	331
642	595	330
643	596	329
644	596	328
645	597	327
646	597	326
647	598	325
648	599	324
649	600	323
650	600	322
651	601	320
652	601	319
653	602	318
654	602	317
655	603	316
656	603	315
657	604	313
658	604	313
659	605	312
660	606	310
661	606	309
662	607	308
663	607	307
664	608	306
665	609	305
666	609	304
667	610	303
668	611	302
669	612	301
670	612	300
671	613	299
672	613	298
673	614	297
674	614	295
675	615	294
676	615	293
677	616	292
678	616	291
679	617	290
680	618	289
681	618	288
682	619	287
683	619	286
684	620	285
685	620	284
686	621	283
687	621	281
688	622	281
689	624	280
690	624	279
691	625	278
692	626	277
693	626	276
694	627	275
695	627	274
696	628	273
697	629	272
698	629	271
699	630	270
700	630	269
701	631	268
702	631	266
703	632	265
704	632	264
705	633	263
706	633	262
707	634	261
708	634	260
709	635	259
710	636	258
711	636	257
712	637	256
713	637	255
714	638	254
715	639	253
716	639	252
717	640	251
718	641	250
719	642	249
720	642	248
721	643	247
722	643	246
723	644	245
724	644	244
725	645	243
726	645	242
727	646	241
728	646	240
729	647	239
730	648	238
731	648	237
732	649	236
733	649	235
734	650	234
735	650	233
736	651	232
737	651	231
738	652	230
739	652	229
740	653	228
741	655	227
742	656	226
743	656	225
744	657	224
745	657	224
746	659	223
747	660	222
748	660	221
749	661	220
750	661	219
751	662	218
752	662	217
753	663	216
754	663	215
755	664	214
756	664	213
757	665	212
758	666	211
759	666	210
760	667	209
761	667	208
762	667	207
763	668	206
764	669	205
765	671	205
766	671	204
767	672	203
768	672	202
769	673	201
770	673	200
771	674	199
772	674	198
773	675	197
774	675	196
775	676	195
776	677	194
777	677	193
778	678	192
779	678	191
780	679	190
781	679	189
782	680	188
783	680	187
784	681	186
785	681	185
786	683	185
787	685	184
788	686	183
789	686	182
790	687	181
791	688	180
792	689	180
793	690	179
794	690	178
795	691	177
796	692	176
797	692	175
798	693	174
799	694	173
800	694	172
801	695	171
802	695	170
803	696	169
804	697	168
805	697	167
806	698	167
807	699	166
808	699	165
809	700	164
810	701	163
811	701	162
812	702	161
813	702	160
814	703	159
815	703	158
816	704	157
817	704	156
818	704	155
819	705	154
820	706	154
821	707	153
822	707	152
823	708	151
824	708	150
825	709	149
826	709	148
827	710	147
828	710	146
829	711	145
830	711	144
831	712	143
832	713	142
833	714	142
834	714	141
835	715	140
836	715	139
837	716	138
838	717	137
839	717	136
840	718	135
841	718	134
842	719	134
843	719	133
844	720	132
845	720	131
846	721	130
847	721	129
848	722	128
849	722	127
850	723	126
851	724	125
852	724	124
853	725	124
854	726	123
855	726	122
856	727	121
857	727	120
858	728	119
859	729	118
860	729	117
861	730	116
862	730	116
863	731	115
864	731	114
865	732	113
866	732	112
867	733	111
868	733	110
869	734	109
870	734	108
871	735	107
872	735	107
873	736	106
874	736	105
875	737	104
876	737	103
877	738	102
878	739	101
879	739	100
880	740	99
881	741	99
882	741	98
883	742	97
884	743	96
885	743	95
886	744	94
887	745	93
888	745	93
889	746	92
890	747	91
891	748	90
892	748	89
893	749	88
894	749	87
895	750	87
896	750	86
